l_aadress,mk_count,ov_count
Aadu,13,37
Aasa,15,60
Aaviku,14,52
Ado,9,19
Aia,15,48
Aida,15,36
Allika,15,63
Allikametsa,11,24
Alliku,14,39
Alttoa,10,27
Altvälja,11,22
Andrese,15,57
Andruse,13,31
Anna,14,31
Anne,15,40
Anni,14,44
Annuse,12,24
Ansu,9,18
Antsu,15,54
Aru,15,60
Arumetsa,13,39
Arumäe,12,30
Arupõllu,13,35
Aruvälja,12,32
Atsi,12,29
Eeriku,10,24
Eha,15,48
Endla,15,44
Ennu,14,38
Farmi,15,37
Haava,15,53
Haaviku,15,53
Hallika,15,37
Halliku,10,23
Hansu,15,59
Heina,15,48
Heinamaa,12,34
Hendriku,14,33
Hiie,15,49
Hindreku,11,28
Hirve,14,30
Hundi,14,40
Härma,15,50
Ilvese,15,51
Indreku,15,33
Jaagu,15,53
Jaagumetsa,12,27
Jaagupõllu,13,22
Jaama,13,33
Jaani,15,61
Jaanimetsa,14,42
Jaanimäe,13,32
Jaanipõllu,13,33
Jaanuse,15,42
Jakobi,14,45
Jalaka,15,52
Joosepi,15,41
Juhani,15,52
Jussi,15,42
Jänese,14,42
Järve,15,61
Järvekalda,12,31
Järvemetsa,14,32
Järvemäe,10,20
Järveotsa,15,42
Järveääre,15,35
Jõe,15,59
Jõekalda,15,53
Jõekääru,15,55
Jõemetsa,15,43
Jõeveere,13,38
Jõeääre,15,60
Jõhvika,14,32
Jüri,15,50
Jürna,7,10
Kaare,15,32
Kaarli,15,51
Kaasiku,15,63
Kaasikupõllu,14,29
Kabeli,12,20
Kadaka,15,61
Kadapiku,5,14
Kadariku,7,8
Kadastiku,12,22
Kadri,14,32
Kaera,15,38
Kaevu,14,35
Kajaka,11,22
Kaku,14,26
Kalda,15,63
Kaldametsa,14,31
Kalde,13,25
Kalevi,15,47
Kalju,15,48
Kallaku,14,35
Kallaste,14,38
Kalle,13,29
Kalmu,15,34
Kanarbiku,15,51
Kangro,14,37
Kangru,15,50
Kannikese,13,31
Karikakra,15,36
Karja,15,46
Karjamaa,14,49
Karjatse,9,18
Karla,13,27
Karli,15,38
Karu,15,53
Karukella,12,29
Karumetsa,13,29
Kase,15,64
Kasemetsa,15,61
Kasemäe,15,45
Kasepõllu,14,37
Kasesalu,15,57
Kasetuka,15,45
Kassi,15,33
Kastani,15,53
Kasteheina,15,37
Kati,14,27
Keldri,14,36
Keldrimäe,15,41
Kesa,13,32
Keskküla,15,45
Keskpõllu,12,29
Keskvälja,8,25
Kesküla,10,19
Kibuvitsa,13,33
Kiige,12,28
Kiigemäe,14,33
Kiilu,15,39
Kiisa,15,40
Kikka,11,28
Kilgi,12,24
Kingsepa,13,31
Kingu,15,57
