l_aadress,count,category_1,category_2,,
Aadu,202,Nimi,,,
Aasa,428,Põld,,,
Aaviku,253,Mets,,,
Ado,53,Nimi,,,
Aia,200,Muu,,,
Aida,161,Muu,,,
Allika,797,Vesi,,,
Allikametsa,54,Mets,Vesi,,
Alliku,170,Vesi,,,
Alttoa,86,Muu,,,
Altvälja,55,Põld,Muu,,
Andrese,329,Nimi,,,
Andruse,182,Nimi,,,
Anna,73,Nimi,,,
Anne,110,Nimi,,,
Anni,184,Nimi,,,
Annuse,94,Muu,,,
Ansu,51,Nimi,,,
Antsu,237,Nimi,,,
Aru,467,Muu,,,
Arumetsa,105,Mets,,,
Arumäe,59,Reljeef,Muu,,
Arupõllu,76,Põld,Muu,,
Aruvälja,65,Põld,Muu,,
Atsi,53,Nimi,,,
Eeriku,53,Nimi,,,
Eha,133,Muu,,,
Endla,106,Muu,,,
Ennu,80,Nimi,,,
Farmi,84,Muu,,,
Haava,216,Mets,,,
Haaviku,173,Mets,,,
Hallika,82,Muu,,,
Halliku,50,Muu,,,
Hansu,337,Nimi,,,
Heina,171,Põld,,,
Heinamaa,98,Põld,,,
Hendriku,97,Nimi,,,
Hiie,168,Mets,,,
Hindreku,110,Nimi,,,
Hirve,77,Loom,,,
Hundi,104,Loom,,,
Härma,184,Muu,,,
Ilvese,169,Loom,,,
Indreku,66,Nimi,,,
Jaagu,482,Nimi,,,
Jaagumetsa,56,Mets,Nimi,,
Jaagupõllu,51,Põld,Nimi,,
Jaama,73,Funktsioon,,,
Jaani,688,Nimi,,,
Jaanimetsa,96,Mets,Nimi,,
Jaanimäe,101,Reljeef,Nimi,,
Jaanipõllu,65,Põld,Nimi,,
Jaanuse,104,Nimi,,,
Jakobi,168,Nimi,,,
Jalaka,209,Mets,,,
Joosepi,123,Nimi,,,
Juhani,330,Nimi,,,
Jussi,87,Nimi,,,
Jänese,124,Loom,,,
Järve,492,Vesi,,,
Järvekalda,103,Vesi,,,
Järvemetsa,75,Vesi,Mets,,
Järvemäe,60,Vesi,Reljeef,,
Järveotsa,125,Vesi,,,
Järveääre,82,Vesi,,,
Jõe,481,Vesi,,,
Jõekalda,230,Vesi,,,
Jõekääru,233,Vesi,,,
Jõemetsa,91,Vesi,Mets,,
Jõeveere,83,Vesi,,,
Jõeääre,374,Vesi,,,
Jõhvika,58,Lill,,,
Jüri,299,Nimi,,,
Jürna,93,Nimi,,,
Kaare,60,Muu,,,
Kaarli,241,Nimi,,,
Kaasiku,1105,Mets,,,
Kaasikupõllu,58,Põld,Mets,,
Kabeli,50,Funktsioon,,,
Kadaka,609,Mets,,,
Kadapiku,51,Mets,,,
Kadariku,95,Mets,,,
Kadastiku,87,Mets,,,
Kadri,61,Nimi,,,
Kaera,111,Põld,,,
Kaevu,114,Muu,,,
Kajaka,62,Lind,,,
Kaku,55,Lind,,,
Kalda,867,Vesi,,,
Kaldametsa,51,Mets,Vesi,,
Kalde,51,Muu,,,
Kalevi,158,Nimi,,,
Kalju,170,Reljeef,,,
Kallaku,58,Reljeef,,,
Kallaste,98,Vesi,,,
Kalle,56,Muu,,,
Kalmu,131,Muu,,,
Kanarbiku,178,Lill,,,
Kangro,97,Reljeef,,,
Kangru,260,Reljeef,,,
Kannikese,60,Lill,,,
Karikakra,77,Lill,,,
Karja,139,Põld,,,
Karjamaa,183,Põld,,,
Karjatse,54,Põld,,,
Karla,59,Muu,,,
Karli,89,Nimi,,,
Karu,241,Loom,,,
Karukella,53,Lill,,,
Karumetsa,57,Loom,Mets,,
Kase,1122,Mets,,,
Kasemetsa,361,Mets,,,
Kasemäe,128,Reljeef,Mets,,
Kasepõllu,95,Põld,Mets,,
Kasesalu,269,Mets,,,
Kasetuka,105,Mets,,,
Kassi,69,Loom,,,
Kastani,188,Mets,,,
Kasteheina,85,Muu,,,
Kati,51,Nimi,,,
Keldri,75,Muu,,,
Keldrimäe,109,Reljeef,Muu,,
Kesa,68,Põld,,,
Keskküla,179,Paiknemine,,,
Keskpõllu,57,Põld,Paiknemine,,
Keskvälja,72,Põld,Paiknemine,,
Kesküla,52,Paiknemine,,,
Kibuvitsa,81,Lill,,,
Kiige,67,Muu,,,
Kiigemäe,75,Reljeef,Muu,,
Kiilu,80,Muu,,,
Kiisa,113,Muu,,,
Kikka,67,Lind,,,
Kilgi,53,Muu,,,
Kingsepa,70,Funktsioon,,,
Kingu,400,Reljeef,,,
Kirsi,227,Lill,,,
Kitse,127,Loom,,,
Kivi,424,Reljeef,,,
Kiviaia,150,Muu,,,
Kivimetsa,72,Mets,Reljeef,,
Kivimurru,56,Reljeef,,,
Kivimäe,218,Reljeef,,,
Kivipõllu,128,Põld,,,
Kivisaare,60,Reljeef,,,
Kivisilla,93,Muu,,,
Kivistiku,154,Reljeef,,,
Koidu,368,Muu,,,
Koka,124,Funktsioon,,,
